Activation, Learning Rate, Epochs, Hidden layers, Training Accuracy, Training Error, Test Accuracy, Test Error,
"Activation=logistic, LR=0.01, Epochs=100, Layers=2",0.8223938223938224,0.17760617760617758,0.8179190751445087,0.18208092485549132
"Activation=logistic, LR=0.01, Epochs=100, Layers=3",0.832046332046332,0.16795366795366795,0.815028901734104,0.18497109826589597
"Activation=logistic, LR=0.01, Epochs=200, Layers=2",0.833976833976834,0.16602316602316602,0.8236994219653179,0.17630057803468213
"Activation=logistic, LR=0.01, Epochs=200, Layers=3",0.8455598455598455,0.15444015444015446,0.8280346820809249,0.1719653179190751
"Activation=logistic, LR=0.1, Epochs=100, Layers=2",0.8532818532818532,0.14671814671814676,0.8280346820809249,0.1719653179190751
"Activation=logistic, LR=0.1, Epochs=100, Layers=3",0.917953667953668,0.08204633204633205,0.8916184971098265,0.10838150289017345
"Activation=logistic, LR=0.1, Epochs=200, Layers=2",0.8774131274131274,0.12258687258687262,0.8728323699421965,0.12716763005780352
"Activation=logistic, LR=0.1, Epochs=200, Layers=3",0.9111969111969112,0.08880308880308885,0.9002890173410405,0.0997109826589595
"Activation=tanh, LR=0.01, Epochs=100, Layers=2",0.7847490347490348,0.2152509652509652,0.7861271676300579,0.21387283236994215
"Activation=tanh, LR=0.01, Epochs=100, Layers=3",0.8783783783783784,0.1216216216216216,0.880057803468208,0.11994219653179194
"Activation=tanh, LR=0.01, Epochs=200, Layers=2",0.7847490347490348,0.2152509652509652,0.7846820809248555,0.21531791907514453
"Activation=tanh, LR=0.01, Epochs=200, Layers=3",0.8832046332046332,0.11679536679536684,0.880057803468208,0.11994219653179194
"Activation=tanh, LR=0.1, Epochs=100, Layers=2",0.8397683397683398,0.16023166023166024,0.8280346820809249,0.1719653179190751
"Activation=tanh, LR=0.1, Epochs=100, Layers=3",0.8243243243243243,0.17567567567567566,0.8208092485549133,0.17919075144508667
"Activation=tanh, LR=0.1, Epochs=200, Layers=2",0.694015444015444,0.305984555984556,0.7095375722543352,0.2904624277456648
"Activation=tanh, LR=0.1, Epochs=200, Layers=3",0.8716216216216216,0.1283783783783784,0.8554913294797688,0.1445086705202312
"Activation=relu, LR=0.01, Epochs=100, Layers=2",0.8021235521235521,0.19787644787644787,0.7933526011560693,0.20664739884393069
"Activation=relu, LR=0.01, Epochs=100, Layers=3",0.8378378378378378,0.16216216216216217,0.8164739884393064,0.1835260115606936
"Activation=relu, LR=0.01, Epochs=200, Layers=2",0.8416988416988417,0.15830115830115832,0.8251445086705202,0.17485549132947975
"Activation=relu, LR=0.01, Epochs=200, Layers=3",0.9227799227799228,0.07722007722007718,0.911849710982659,0.08815028901734101
"Activation=relu, LR=0.1, Epochs=100, Layers=2",0.7934362934362934,0.2065637065637066,0.7976878612716763,0.20231213872832365
"Activation=relu, LR=0.1, Epochs=100, Layers=3",0.7953667953667953,0.20463320463320467,0.7947976878612717,0.2052023121387283
"Activation=relu, LR=0.1, Epochs=200, Layers=2",0.8581081081081081,0.14189189189189189,0.8352601156069365,0.16473988439306353
"Activation=relu, LR=0.1, Epochs=200, Layers=3",0.8378378378378378,0.16216216216216217,0.8106936416184971,0.1893063583815029
------------------------------------------------------------------------------------
"Activation=logistic, LR=0.01, Epochs=100, Layers=2",0.811,0.189,0.824,0.176
"Activation=logistic, LR=0.01, Epochs=100, Layers=3",0.813,0.187,0.821,0.179
"Activation=logistic, LR=0.01, Epochs=200, Layers=2",0.822,0.178,0.829,0.171
